"Division_ID";"Division";"Create_Date";"Created_By";"Last_Update";"Last_Updated_By";"Country_ID"
1;"Alabama";"2021-09-10 13:14:09";"script";"2021-09-10 17:14:09";"script";1
2;"Arizona";"2021-09-10 13:14:09";"script";"2021-09-10 17:14:09";"script";1
3;"Arkansas";"2021-09-10 13:14:09";"script";"2021-09-10 17:14:09";"script";1
4;"California";"2021-09-10 13:14:09";"script";"2021-09-10 17:14:09";"script";1
5;"Colorado";"2021-09-10 13:14:09";"script";"2021-09-10 17:14:09";"script";1
6;"Connecticut";"2021-09-10 13:14:09";"script";"2021-09-10 17:14:09";"script";1
7;"Delaware";"2021-09-10 13:14:09";"script";"2021-09-10 17:14:09";"script";1
8;"District of Columbia";"2021-09-10 13:14:09";"script";"2021-09-10 17:14:09";"script";1
9;"Florida";"2021-09-10 13:14:09";"script";"2021-09-10 17:14:09";"script";1
10;"Georgia";"2021-09-10 13:14:09";"script";"2021-09-10 17:14:09";"script";1
11;"Idaho";"2021-09-10 13:14:09";"script";"2021-09-10 17:14:09";"script";1
12;"Illinois";"2021-09-10 13:14:09";"script";"2021-09-10 17:14:09";"script";1
13;"Indiana";"2021-09-10 13:14:09";"script";"2021-09-10 17:14:09";"script";1
14;"Iowa";"2021-09-10 13:14:09";"script";"2021-09-10 17:14:09";"script";1
15;"Kansas";"2021-09-10 13:14:09";"script";"2021-09-10 17:14:09";"script";1
16;"Kentucky";"2021-09-10 13:14:09";"script";"2021-09-10 17:14:09";"script";1
17;"Louisiana";"2021-09-10 13:14:09";"script";"2021-09-10 17:14:09";"script";1
18;"Maine";"2021-09-10 13:14:09";"script";"2021-09-10 17:14:09";"script";1
19;"Maryland";"2021-09-10 13:14:09";"script";"2021-09-10 17:14:09";"script";1
20;"Massachusetts";"2021-09-10 13:14:09";"script";"2021-09-10 17:14:09";"script";1
21;"Michigan";"2021-09-10 13:14:09";"script";"2021-09-10 17:14:09";"script";1
22;"Minnesota";"2021-09-10 13:14:09";"script";"2021-09-10 17:14:09";"script";1
23;"Mississippi";"2021-09-10 13:14:09";"script";"2021-09-10 17:14:09";"script";1
24;"Missouri";"2021-09-10 13:14:09";"script";"2021-09-10 17:14:09";"script";1
25;"Montana";"2021-09-10 13:14:09";"script";"2021-09-10 17:14:09";"script";1
26;"Nebraska";"2021-09-10 13:14:09";"script";"2021-09-10 17:14:09";"script";1
27;"Nevada";"2021-09-10 13:14:09";"script";"2021-09-10 17:14:09";"script";1
28;"New Hampshire";"2021-09-10 13:14:09";"script";"2021-09-10 17:14:09";"script";1
29;"New Jersey";"2021-09-10 13:14:09";"script";"2021-09-10 17:14:09";"script";1
30;"New Mexico";"2021-09-10 13:14:09";"script";"2021-09-10 17:14:09";"script";1
31;"New York";"2021-09-10 13:14:09";"script";"2021-09-10 17:14:09";"script";1
32;"North Carolina";"2021-09-10 13:14:09";"script";"2021-09-10 17:14:09";"script";1
33;"North Dakota";"2021-09-10 13:14:09";"script";"2021-09-10 17:14:09";"script";1
34;"Ohio";"2021-09-10 13:14:09";"script";"2021-09-10 17:14:09";"script";1
35;"Oklahoma";"2021-09-10 13:14:09";"script";"2021-09-10 17:14:09";"script";1
36;"Oregon";"2021-09-10 13:14:09";"script";"2021-09-10 17:14:09";"script";1
37;"Pennsylvania";"2021-09-10 13:14:10";"script";"2021-09-10 17:14:10";"script";1
38;"Rhode Island";"2021-09-10 13:14:10";"script";"2021-09-10 17:14:10";"script";1
39;"South Carolina";"2021-09-10 13:14:10";"script";"2021-09-10 17:14:10";"script";1
40;"South Dakota";"2021-09-10 13:14:10";"script";"2021-09-10 17:14:10";"script";1
41;"Tennessee";"2021-09-10 13:14:10";"script";"2021-09-10 17:14:10";"script";1
42;"Texas";"2021-09-10 13:14:10";"script";"2021-09-10 17:14:10";"script";1
43;"Utah";"2021-09-10 13:14:10";"script";"2021-09-10 17:14:10";"script";1
44;"Vermont";"2021-09-10 13:14:10";"script";"2021-09-10 17:14:10";"script";1
45;"Virginia";"2021-09-10 13:14:10";"script";"2021-09-10 17:14:10";"script";1
46;"Washington";"2021-09-10 13:14:10";"script";"2021-09-10 17:14:10";"script";1
47;"West Virginia";"2021-09-10 13:14:10";"script";"2021-09-10 17:14:10";"script";1
48;"Wisconsin";"2021-09-10 13:14:10";"script";"2021-09-10 17:14:10";"script";1
49;"Wyoming";"2021-09-10 13:14:10";"script";"2021-09-10 17:14:10";"script";1
52;"Hawaii";"2021-09-10 13:14:09";"script";"2021-09-10 17:14:09";"script";1
54;"Alaska";"2021-09-10 13:14:09";"script";"2021-09-10 17:14:09";"script";1
60;"Northwest Territories";"2021-09-10 13:14:10";"script";"2021-09-10 17:14:10";"script";3
61;"Alberta";"2021-09-10 13:14:10";"script";"2021-09-10 17:14:10";"script";3
62;"British Columbia";"2021-09-10 13:14:10";"script";"2021-09-10 17:14:10";"script";3
63;"Manitoba";"2021-09-10 13:14:10";"script";"2021-09-10 17:14:10";"script";3
64;"New Brunswick";"2021-09-10 13:14:10";"script";"2021-09-10 17:14:10";"script";3
65;"Nova Scotia";"2021-09-10 13:14:10";"script";"2021-09-10 17:14:10";"script";3
66;"Prince Edward Island";"2021-09-10 13:14:10";"script";"2021-09-10 17:14:10";"script";3
67;"Ontario";"2021-09-10 13:14:10";"script";"2021-09-10 17:14:10";"script";3
68;"Québec";"2021-09-10 13:14:10";"script";"2021-09-10 17:14:10";"script";3
69;"Saskatchewan";"2021-09-10 13:14:10";"script";"2021-09-10 17:14:10";"script";3
70;"Nunavut";"2021-09-10 13:14:10";"script";"2021-09-10 17:14:10";"script";3
71;"Yukon";"2021-09-10 13:14:10";"script";"2021-09-10 17:14:10";"script";3
72;"Newfoundland and Labrador";"2021-09-10 13:14:10";"script";"2021-09-10 17:14:10";"script";3
101;"England";"2021-09-10 13:14:10";"script";"2021-09-10 17:14:10";"script";2
102;"Wales";"2021-09-10 13:14:10";"script";"2021-09-10 17:14:10";"script";2
103;"Scotland";"2021-09-10 13:14:10";"script";"2021-09-10 17:14:10";"script";2
104;"Northern Ireland";"2021-09-10 13:14:10";"script";"2021-09-10 17:14:10";"script";2
